% Model:              Ellipse3.mph
% Version:            COMSOL 6.3.0.290
% Date:               Oct 26 2025, 11:01
% Dimension:          2
% Nodes:              10201
% Expressions:        5
% Description: Displacement field, X component, Displacement field, Y component, Strain tensor, XX component, Strain tensor, YY component, Strain tensor, XY component
% Length unit:        m
% X                       Y                        u (m)                    v (m)                    solid.eXX (1)            solid.eYY (1)            solid.eXY (1)
-0.76                     0.9000000000000001       -0.0022753417667990723   -8.04126508385694E-4     0.003022773333078446     -9.580938857491825E-4    6.096639599903707E-6
-0.74                     0.9199999999999999       -0.0022145282390212593   -8.234038469651508E-4    0.0030243452145528524    -9.571730456776015E-4    4.783475812387278E-6
-0.72                     0.94                     -0.0021537512761252496   -8.426476551896411E-4    0.0030254623687694542    -9.557983873359684E-4    3.45740732255774E-6
-0.7                      0.96                     -0.002093027919229034    -8.618402329874531E-4    0.0030261594473253023    -9.54007922991189E-4     2.17974020153347E-6
-0.6799999999999999       0.98                     -0.0020323731222916413   -8.809636554141079E-4    0.003026480718363034     -9.518477186051683E-4    1.0071331994036814E-6
-0.6599999999999999       1                        -0.0019717995593003974   -9.000000000000001E-4    0.003026480434854114     -9.493679672971748E-4    -7.440466742725249E-9
-1                        0.6400000000000001       -0.0030000000000000005   -5.56596194494997E-4     0.0029633081499796563    -9.290985584649789E-4    2.0084698362787812E-8
-0.98                     0.6600000000000001       -0.0029406038074231643   -5.752206874161922E-4    0.002969892933457128     -9.333902905200962E-4    3.1736903839327257E-6
-0.96                     0.6799999999999999       -0.0028809595246355253   -5.939310467544083E-4    0.002976291625639329     -9.374827410167785E-4    5.827029648561299E-6
-0.94                     0.7                      -0.0028210870054594752   -6.127273058128333E-4    0.002982473004670578     -9.41329970464427E-4     7.971039132715415E-6
-0.9199999999999998       0.72                     -0.002761007384869199    -6.316080953798687E-4    0.002988396935056268     -9.448839035663285E-4    9.60473021721652E-6
-0.8999999999999998       0.74                     -0.0027007430264461845   -6.505705165856668E-4    0.0029940193275014245    -9.480951289593982E-4    1.0737413312260187E-5
-0.8799999999999999       0.76                     -0.002640317353715057    -6.69609956907006E-4     0.0029992940757981126    -9.509152624983604E-4    1.1388784496998614E-5
